2023-02-13 13:18:24,558: 'h'
2023-02-13 13:18:24,693: 'e'
2023-02-13 13:18:25,340: 'l'
2023-02-13 13:18:25,504: 'l'
2023-02-13 13:18:25,677: 'o'
2023-02-13 13:18:25,895: Key.space
2023-02-13 13:18:26,022: 'w'
2023-02-13 13:18:26,176: 'o'
2023-02-13 13:18:26,423: 'r'
2023-02-13 13:18:26,602: 'l'
2023-02-13 13:18:26,724: 'd'
2023-02-13 13:18:26,879: Key.enter
2023-02-13 13:19:41,131: Key.ctrl_l
2023-02-13 13:19:41,215: '\x03'
2023-02-13 13:19:44,396: 'e'
2023-02-13 13:21:03,197: 'h'
2023-02-13 13:21:03,530: 'e'
2023-02-13 13:21:03,721: 'l'
2023-02-13 13:21:03,857: 'l'
2023-02-13 13:21:04,065: 'o'
2023-02-13 13:21:04,292: Key.space
2023-02-13 13:21:04,446: 'w'
2023-02-13 13:21:04,586: 'o'
2023-02-13 13:21:04,895: 'r'
2023-02-13 13:21:05,079: 'l'
2023-02-13 13:21:05,214: 'd'
2023-02-13 13:21:05,382: Key.enter
2023-02-13 13:21:29,825: '.'
2023-02-13 13:21:30,015: '.'
2023-02-13 13:21:30,366: Key.enter
2023-02-13 13:22:25,181: 'k'
2023-02-13 13:22:25,312: 'e'
2023-02-13 13:22:25,524: 'y'
2023-02-13 13:22:25,851: 'l'
2023-02-13 13:22:26,096: 'o'
2023-02-13 13:22:26,397: 'g'
2023-02-13 13:22:26,533: 'g'
2023-02-13 13:22:26,803: 'i'
2023-02-13 13:22:27,080: 'n'
2023-02-13 13:22:27,336: 'g'
2023-02-13 13:22:28,186: Key.space
2023-02-13 13:22:28,825: 'a'
2023-02-13 13:22:29,027: 'p'
2023-02-13 13:22:29,427: 'p'
2023-02-13 13:22:29,645: 'l'
2023-02-13 13:22:29,869: 'i'
2023-02-13 13:22:30,234: 'c'
2023-02-13 13:22:30,387: 'a'
2023-02-13 13:22:30,540: 't'
2023-02-13 13:22:30,849: 'i'
2023-02-13 13:22:31,072: 'o'
2023-02-13 13:22:31,332: 'n'
2023-02-13 13:22:31,544: Key.space
2023-02-13 13:22:31,775: 'f'
2023-02-13 13:22:31,999: 'l'
2023-02-13 13:22:32,203: 'a'
2023-02-13 13:22:32,445: 's'
2023-02-13 13:22:32,581: 'k'
2023-02-13 13:22:32,766: Key.enter
2023-02-13 15:13:17,008: Key.enter
2023-02-13 15:14:02,402: 'h'
2023-02-13 15:14:02,620: 'o'
2023-02-13 15:14:04,021: Key.enter
2023-02-13 15:14:26,207: 'n'
2023-02-13 15:14:26,397: 'e'
2023-02-13 15:14:27,018: 't'
2023-02-13 15:17:33,789: 'h'
2023-02-13 15:17:34,001: 'u'
2023-02-13 15:17:34,283: 'n'
2023-02-13 15:17:34,648: 'g'
2023-02-13 15:17:35,048: 'e'
2023-02-13 15:17:35,262: 'r'
2023-02-13 15:17:35,479: Key.space
2023-02-13 15:18:06,755: 'g'
2023-02-13 15:18:06,998: 'a'
2023-02-13 15:18:07,306: 'm'
2023-02-13 15:18:07,419: 'e'
2023-02-13 15:18:07,668: 's'
2023-02-13 15:18:07,782: Key.enter
